source	target	mor
REL_RELB	PTPN13	1
REL	PTPN13	1
RELA	LTBR	1
NFKB1	LTBR	1
RELA_RELB	LTBR	1
NFKB2_RELA	LTBR	1
NFKB1_RELB	LTBR	1
REL_RELA	LTBR	1
NFKB1_NFKB2	LTBR	1
NFKB1_REL	LTBR	1
NFKB2_RELB	LTBR	1
RELB	LTBR	1
NFKB1_RELA	LTBR	1
NFKB2	LTBR	1
NFKB2_REL	LTBR	1
REL_RELB	LTBR	1
REL	LTBR	1
FOSL1_JUNB	GNLY	1
FOS_JUN	GNLY	1
FOS_JUNB	GNLY	1
FOSL2_JUND	GNLY	1
FOSL2_JUN	GNLY	1
FOSB_JUNB	GNLY	1
JUNB	GNLY	1
FOSL2_JUNB	GNLY	1
JUND	GNLY	1
JUN_JUND	GNLY	1
JUNB_JUND	GNLY	1
FOSL1_JUND	GNLY	1
FOSL1_JUN	GNLY	1
FOSB_JUND	GNLY	1
FOSB_JUN	GNLY	1
JUN_JUNB	GNLY	1
FOS_JUND	GNLY	1
FOSL1_JUNB	KNG1	1
FOS_JUN	KNG1	1
FOS_JUNB	KNG1	1
FOSL2_JUND	KNG1	1
FOSL2_JUN	KNG1	1
JUN	KNG1	1
FOSB_JUNB	KNG1	1
JUNB	KNG1	1
FOSL2_JUNB	KNG1	1
JUND	KNG1	1
JUN_JUND	KNG1	1
JUNB_JUND	KNG1	1
FOSL1_JUND	KNG1	1
FOSL1_JUN	KNG1	1
FOSB_JUND	KNG1	1
FOSB_JUN	KNG1	1
JUN_JUNB	KNG1	1
FOS_JUND	KNG1	1
FOSL1_JUNB	TGFBR2	1
FOS_JUN	TGFBR2	1
FOS_JUNB	TGFBR2	1
FOSL2_JUND	TGFBR2	1
FOSL2_JUN	TGFBR2	1
FOSB_JUNB	TGFBR2	1
JUNB	TGFBR2	1
FOSL2_JUNB	TGFBR2	1
JUND	TGFBR2	1
JUN_JUND	TGFBR2	1
JUNB_JUND	TGFBR2	1
FOSL1_JUND	TGFBR2	1
FOSL1_JUN	TGFBR2	1
FOSB_JUND	TGFBR2	1
FOSB_JUN	TGFBR2	1
JUN_JUNB	TGFBR2	1
FOS_JUND	TGFBR2	1
FOSL1_JUNB	INTU	1
FOS_JUN	INTU	1
FOS_JUNB	INTU	1
FOSL2_JUND	INTU	1
FOSL2_JUN	INTU	1
JUN	INTU	1
FOSB_JUNB	INTU	1
JUNB	INTU	1
FOSL2_JUNB	INTU	1
JUND	INTU	1
JUN_JUND	INTU	1
JUNB_JUND	INTU	1
FOSL1_JUND	INTU	1
FOSL1_JUN	INTU	1
FOSB_JUND	INTU	1
FOSB_JUN	INTU	1
JUN_JUNB	INTU	1
FOS_JUND	INTU	1
FOSL1_JUNB	RHOB	1
FOS_JUN	RHOB	1
FOS_JUNB	RHOB	1
FOSL2_JUND	RHOB	1
FOSL2_JUN	RHOB	1
FOSB_JUNB	RHOB	1
JUNB	RHOB	1
FOSL2_JUNB	RHOB	1
JUND	RHOB	1
JUN_JUND	RHOB	1
JUNB_JUND	RHOB	1
FOSL1_JUND	RHOB	1
FOSL1_JUN	RHOB	1
FOSB_JUND	RHOB	1
FOSB_JUN	RHOB	1
JUN_JUNB	RHOB	1
FOS_JUND	RHOB	1
RELA_RELB	CCL20	1
NFKB2_RELA	CCL20	1
NFKB1_RELB	CCL20	1
REL_RELA	CCL20	1
NFKB1_NFKB2	CCL20	1
NFKB1_REL	CCL20	1
NFKB2_RELB	CCL20	1
NFKB1_RELA	CCL20	1
NFKB2_REL	CCL20	1
REL_RELB	CCL20	1
RELA_RELB	RELB	1
NFKB2_RELA	RELB	1
NFKB1_RELB	RELB	1
REL_RELA	RELB	1
NFKB1_NFKB2	RELB	1
NFKB1_REL	RELB	1
NFKB2_RELB	RELB	1
RELB	RELB	1
NFKB1_RELA	RELB	1
NFKB2_REL	RELB	1
REL_RELB	RELB	1
RELA_RELB	DEFB4B	1
NFKB2_RELA	DEFB4B	1
NFKB1_RELB	DEFB4B	1
REL_RELA	DEFB4B	1
NFKB1_NFKB2	DEFB4B	1
NFKB1_REL	DEFB4B	1
